locationid,lat,lon
1,4.1990947,96.1208926
2,2.6520337,98.068343
3,0.9826667,97.7090854
4,0.4630596,99.2120593
5,1.2153324,99.2563859
6,1.4815822,99.3451118
7,1.4061329,99.1234795
8,1.368332,99.0349977
9,1.5592261,99.0792263
10,1.5205672,99.1677572
11,1.5313967,98.8693609
12,1.5985142,98.8583309
13,1.689785,98.8417888
14,1.7133267,98.9466146
15,1.7425426,98.8693609
16,1.7961599,98.7315981
17,1.8685224,98.7260927
18,2.0735552,98.385532
19,2.1812448,98.2431747
20,2.0610237,98.9024603
21,2.0121688,98.9797467
22,2.2155425,99.0349977
23,2.177468,98.9024603
24,2.3337119,99.083252
25,2.308097,99.0184183
26,2.3314866,99.1677572
27,2.4476333,99.3007367
28,2.4781016,99.1345466
29,2.5254975,99.3451118
30,2.4773277,99.245302
31,2.4971902,99.2009815
32,2.566879,99.0349977
33,2.016312,99.9241575
34,2.1509367,100.0359661
35,2.0560544,99.745565
36,2.4316223,100.1591213
37,2.3629286,100.2375823
38,2.0650987,99.8459774
39,2.7806672,99.3229213
40,2.7102164,99.5339744
41,2.854921,99.8571416
42,2.958366,99.8515593
43,2.8755633,99.745565
44,2.8073607,99.6675486
45,3.0040063,99.7121206
46,2.9538144,98.6270628
47,2.9233863,98.7260927
48,2.8437357,98.8142264
49,2.8901607,99.1788304
50,2.8921141,98.9355737
51,2.9607956,98.9907938
52,2.9781612,99.2785583
53,3.0524538,98.6710603
54,3.1199207,98.9024603
55,3.078769,99.0792263
56,3.127637,99.1566855
57,2.9497365,99.1345466
58,3.0282416,99.2009815
59,3.0484063,99.1566855
60,3.10704,99.245302
61,3.1470728,99.2009815
62,3.1857464,99.3118282
63,3.0760647,99.389511
64,2.7439024,98.3143192
65,2.7393948,98.2541155
66,2.6795676,98.3636131
67,2.6493899,98.4622987
68,2.7674876,98.4622987
69,2.7570828,98.539144
70,2.8591845,98.0574299
71,2.8384977,98.1884949
72,2.8479823,98.2431747
73,2.897309,98.2541155
74,2.8470302,98.3745717
75,3.0856069,98.2431747
76,3.0059333,98.2869478
77,3.0547314,98.385532
78,3.1335943,98.4513272
79,3.2034329,98.4184224
80,3.207814,98.4897345
81,3.1050237,98.4985048
82,3.185291,98.504913
83,2.9649832,98.4622987
84,3.1325174,98.5830907
85,3.3217968,98.5501283
86,3.4712349,98.5830907
87,3.4506445,98.6490584
88,3.3601177,98.7260927
89,3.3593222,98.8142264
90,3.4312761,98.9011223
91,3.5190779,98.8142264
92,3.4949604,98.7205877
93,3.611391,98.5830907
94,3.7618891,98.5940814
95,3.6711541,98.6270628
96,3.6396672,98.770147
97,3.629103,98.8252502
98,3.6286693,98.8693609
99,3.5663315,98.8751518
100,3.5281289,98.9134965
101,3.6728406,98.4513272
102,3.805564,98.2431747
103,3.8146839,98.3417006
104,4.0367487,98.3417006
105,3.8068124,98.1120116
106,0.6052335,97.8395151
107,0.61893,97.88753
108,0.6991834,97.8395151
109,0.5840218,97.7224885
110,2.2555384,98.8583309
111,2.6406763,98.2978951
112,2.6764708,98.8032042
113,3.2693962,98.8473024
114,3.2885077,98.9355737
115,3.3174612,99.0349977
116,3.1973692,99.1234795
117,3.2760376,99.2120593
118,3.4765641,99.0792263
119,3.4357871,99.1677572
120,3.5461852,99.1124139
121,3.5674986,98.9797467
122,3.1238485,99.5784754
123,3.1528327,99.6564092
124,3.2338196,99.4783816
125,3.2842122,99.4006146
126,3.3246163,99.3340158
127,1.4039726,99.6564092
128,1.5378286,99.5896043
129,1.9793075,99.6564092
130,0.996338,99.6898316
131,1.1376879,99.7901781
132,1.0052632,99.8571416
133,1.6877896,100.2151578
134,1.8998349,100.0583451
135,1.8427607,99.9465077
136,2.2296655,99.8571416
137,2.561968,99.7009754
138,1.7501641,98.7839191
139,1.7368371,98.7851121
140,1.7308411,98.8004489
141,1.7321144,98.7852965
142,2.9438292,99.8236533
143,2.9885529,99.7846002
144,3.0080878,99.8069141
145,2.9427623,99.0819914
146,2.9466357,99.0612554
147,2.9528658,99.0543447
148,2.9725353,99.0654022
149,2.962563,99.0764613
150,2.9947062,99.0736964
151,2.9752113,99.0405249
152,3.2991552,99.1317797
153,3.3262879,99.1566855
154,3.3436308,99.1649891
155,3.3314198,99.1400807
156,3.328595,99.176062
157,3.5258916,98.6215649
158,3.5354881,98.6655592
159,3.5450819,98.7095789
160,3.5750125,98.7205877
161,3.5777001,98.7013233
162,3.5951956,98.6722227
163,3.5741145,98.6834392
164,3.5554042,98.6765618
165,3.5681028,98.6573084
166,3.5558188,98.6325611
167,3.5759525,98.6215649
168,3.6059085,98.6325611
169,3.5956772,98.6545583
170,3.6254299,98.6875659
171,3.6078618,98.6903172
172,3.6077561,98.7013233
173,3.6556227,98.6765618
174,3.7307552,98.6930685
175,3.7160675,98.6545583
176,3.784303,98.694221
177,3.6135482,98.5025286
178,3.591964,98.5171802
179,3.6472775,98.5007116
180,1.3339191,99.3173746
181,1.3721367,99.2841023
182,1.3721801,99.2730146
183,1.3721801,99.2730146
184,1.4295182,99.2397606
185,1.335263,97.5463885
186,-1.2480127,100.6421799
187,-1.1341375,100.7774424
188,-0.9463923,100.6421799
189,-0.7759907,101.2977322
190,-0.8324707,101.1390878
191,-0.6275689,101.0259275
192,-0.6000092,100.8564355
193,-0.424324,100.3722477
194,-0.498456,100.4621366
195,-0.4565124,100.5689948
196,-0.3407234,100.5633676
197,-0.7597873,100.3273368
198,-0.6850063,100.3273368
199,-0.6946171,100.2039477
200,-0.6205971,100.2779215
